Date,Month,Year,NAV,Amount_Invested,Units_Bought,,Date,occurances,total units,Avg_Units_Per_Occurrence
7,12,2021,53.3228,1000,18.7537,,,,,
8,12,2021,54.418,1000,18.3763,,,,,
9,12,2021,54.7846,1000,18.2533,,,,,
10,12,2021,55.108,1000,18.1462,,,,,
13,12,2021,55.115,1000,18.1439,,,,,
14,12,2021,55.0658,1000,18.1601,,,,,
15,12,2021,54.4507,1000,18.3652,,,,,
16,12,2021,54.3922,1000,18.385,,,,,
17,12,2021,53.5048,1000,18.6899,,,,,
20,12,2021,52.3958,1000,19.0855,,,,,
21,12,2021,52.414,1000,19.0789,,,,,
22,12,2021,53.1946,1000,18.7989,,,,,
23,12,2021,53.5286,1000,18.6816,,,,,
24,12,2021,53.4319,1000,18.7154,,,,,
27,12,2021,53.6276,1000,18.6471,,,,,
28,12,2021,54.092,1000,18.487,,,,,
29,12,2021,53.9326,1000,18.5417,,,,,
30,12,2021,53.9981,1000,18.5192,,,,,
31,12,2021,54.4581,1000,18.3627,,,,,
3,1,2022,54.5884,1000,18.3189,,,,,
4,1,2022,54.8749,1000,18.2233,,,,,
5,1,2022,54.8129,1000,18.2439,,,,,
6,1,2022,54.0152,1000,18.5133,,,,,
7,1,2022,54.0384,1000,18.5054,,,,,
10,1,2022,54.2704,1000,18.4263,,,,,
11,1,2022,54.3167,1000,18.4105,,,,,
12,1,2022,54.7346,1000,18.27,,,,,
13,1,2022,55.0629,1000,18.161,,,,,
14,1,2022,54.6273,1000,18.3059,,,,,
17,1,2022,54.7944,1000,18.25,,,,,
18,1,2022,54.4037,1000,18.3811,,,,,
19,1,2022,53.966,1000,18.5302,,,,,
20,1,2022,53.9155,1000,18.5475,,,,,
21,1,2022,53.2473,1000,18.7803,,,,,
24,1,2022,51.772,1000,19.3155,,,,,
25,1,2022,52.3539,1000,19.1008,,,,,
27,1,2022,51.6695,1000,19.3538,,,,,
28,1,2022,51.6481,1000,19.3618,,,,,
31,1,2022,52.4968,1000,19.0488,,,,,
1,2,2022,53.3101,1000,18.7582,,,,,
2,2,2022,53.9684,1000,18.5294,,,,,
3,2,2022,54.3661,1000,18.3938,,,,,
4,2,2022,52.5837,1000,19.0173,,,,,
7,2,2022,52.4854,1000,19.0529,,,,,
8,2,2022,52.2274,1000,19.147,,,,,
9,2,2022,52.6151,1000,19.006,,,,,
10,2,2022,53.1541,1000,18.8132,,,,,
11,2,2022,52.4694,1000,19.0587,,,,,
14,2,2022,50.9963,1000,19.6093,,,,,
15,2,2022,51.8092,1000,19.3016,,,,,
16,2,2022,52.0243,1000,19.2218,,,,,
17,2,2022,51.8893,1000,19.2718,,,,,
18,2,2022,51.3431,1000,19.4768,,,,,
21,2,2022,50.8782,1000,19.6548,,,,,
22,2,2022,50.4575,1000,19.8187,,,,,
23,2,2022,50.3166,1000,19.8742,,,,,
24,2,2022,48.3898,1000,20.6655,,,,,
25,2,2022,50.0091,1000,19.9964,,,,,
28,2,2022,50.3107,1000,19.8765,,,,,
2,3,2022,49.8861,1000,20.0457,,,,,
3,3,2022,50.1049,1000,19.9581,,,,,
4,3,2022,49.4208,1000,20.2344,,,,,
7,3,2022,48.5862,1000,20.582,,,,,
8,3,2022,48.2589,1000,20.7216,,,,,
9,3,2022,48.6393,1000,20.5595,,,,,
10,3,2022,49.6502,1000,20.1409,,,,,
11,3,2022,49.9919,1000,20.0032,,,,,
14,3,2022,50.0546,1000,19.9782,,,,,
15,3,2022,49.46,1000,20.2184,,,,,
16,3,2022,50.5005,1000,19.8018,,,,,
17,3,2022,51.3406,1000,19.4778,,,,,
21,3,2022,51.4958,1000,19.4191,,,,,
22,3,2022,51.6393,1000,19.3651,,,,,
23,3,2022,52.0889,1000,19.1979,,,,,
24,3,2022,52.0626,1000,19.2076,,,,,
25,3,2022,52.0338,1000,19.2183,,,,,
28,3,2022,52.2572,1000,19.1361,,,,,
29,3,2022,52.2612,1000,19.1347,,,,,
30,3,2022,52.5583,1000,19.0265,,,,,
31,3,2022,52.5141,1000,19.0425,,,,,
1,4,2022,52.8609,1000,18.9176,,,,,
4,4,2022,53.9793,1000,18.5256,,,,,
5,4,2022,54.7857,1000,18.2529,,,,,
6,4,2022,54.4538,1000,18.3642,,,,,
7,4,2022,53.7773,1000,18.5952,,,,,
8,4,2022,54.0076,1000,18.5159,,,,,
11,4,2022,53.4823,1000,18.6978,,,,,
12,4,2022,52.5707,1000,19.022,,,,,
13,4,2022,52.2541,1000,19.1373,,,,,
18,4,2022,51.667,1000,19.3547,,,,,
19,4,2022,51.2306,1000,19.5196,,,,,
20,4,2022,51.6804,1000,19.3497,,,,,
21,4,2022,51.7525,1000,19.3227,,,,,
22,4,2022,51.0161,1000,19.6017,,,,,
25,4,2022,50.2483,1000,19.9012,,,,,
26,4,2022,51.0977,1000,19.5704,,,,,
27,4,2022,50.3224,1000,19.8719,,,,,
28,4,2022,50.6732,1000,19.7343,,,,,
29,4,2022,50.7205,1000,19.7159,,,,,
2,5,2022,49.9622,1000,20.0151,,,,,
4,5,2022,49.6482,1000,20.1417,,,,,
5,5,2022,49.9435,1000,20.0226,,,,,
6,5,2022,49.0081,1000,20.4048,,,,,
9,5,2022,48.7994,1000,20.4921,,,,,
10,5,2022,48.1193,1000,20.7817,,,,,
11,5,2022,48.1258,1000,20.7789,,,,,
12,5,2022,47.0201,1000,21.2675,,,,,
13,5,2022,47.1498,1000,21.209,,,,,
16,5,2022,47.6371,1000,20.992,,,,,
17,5,2022,48.3132,1000,20.6983,,,,,
18,5,2022,48.4873,1000,20.624,,,,,
19,5,2022,47.5502,1000,21.0304,,,,,
20,5,2022,48.1445,1000,20.7708,,,,,
23,5,2022,47.9598,1000,20.8508,,,,,
24,5,2022,48.015,1000,20.8268,,,,,
25,5,2022,47.4122,1000,21.0916,,,,,
26,5,2022,47.7411,1000,20.9463,,,,,
27,5,2022,48.4457,1000,20.6417,,,,,
30,5,2022,49.2537,1000,20.303,,,,,
31,5,2022,49.5594,1000,20.1778,,,,,
1,6,2022,49.4131,1000,20.2375,,,,,
2,6,2022,49.2763,1000,20.2937,,,,,
3,6,2022,49.3231,1000,20.2745,,,,,
6,6,2022,48.8664,1000,20.464,,,,,
7,6,2022,48.8466,1000,20.4723,,,,,
8,6,2022,48.7184,1000,20.5261,,,,,
9,6,2022,48.8738,1000,20.4609,,,,,
10,6,2022,48.2221,1000,20.7374,,,,,
13,6,2022,47.0186,1000,21.2682,,,,,
14,6,2022,46.4984,1000,21.5061,,,,,
15,6,2022,46.5659,1000,21.4749,,,,,
16,6,2022,46.0539,1000,21.7137,,,,,
17,6,2022,45.433,1000,22.0104,,,,,
20,6,2022,45.4885,1000,21.9836,,,,,
21,6,2022,46.1855,1000,21.6518,,,,,
22,6,2022,45.919,1000,21.7775,,,,,
23,6,2022,46.131,1000,21.6774,,,,,
24,6,2022,46.7348,1000,21.3973,,,,,
27,6,2022,47.5907,1000,21.0125,,,,,
28,6,2022,47.3139,1000,21.1354,,,,,
29,6,2022,46.715,1000,21.4064,,,,,
30,6,2022,46.8274,1000,21.355,,,,,
1,7,2022,46.8073,1000,21.3642,,,,,
4,7,2022,47.1749,1000,21.1977,,,,,
5,7,2022,47.1476,1000,21.21,,,,,
6,7,2022,47.8395,1000,20.9032,,,,,
7,7,2022,48.2713,1000,20.7162,,,,,
8,7,2022,48.7315,1000,20.5206,,,,,
11,7,2022,48.8655,1000,20.4643,,,,,
12,7,2022,48.4055,1000,20.6588,,,,,
13,7,2022,47.9708,1000,20.846,,,,,
14,7,2022,47.6812,1000,20.9726,,,,,
15,7,2022,47.6411,1000,20.9903,,,,,
18,7,2022,48.2078,1000,20.7435,,,,,
19,7,2022,48.2224,1000,20.7373,,,,,
20,7,2022,48.8662,1000,20.464,,,,,
21,7,2022,49.2078,1000,20.322,,,,,
22,7,2022,49.4641,1000,20.2167,,,,,
25,7,2022,49.0597,1000,20.3833,,,,,
26,7,2022,48.735,1000,20.5191,,,,,
