Date,month,year,NAV,Amount_Invested,Units_Bought,,Day_of_Month,Occurrences,Total_Units_Bought,Avg_Units_Per_Occurrence
25,10,2023,118.7852,2000,16.8371,,,,,
26,10,2023,118.4148,2000,16.8898,,,,,
27,10,2023,120.5619,2000,16.589,,,,,
30,10,2023,120.9038,2000,16.5421,,,,,
31,10,2023,120.985,2000,16.531,,,,,
1,11,2023,120.881,2000,16.5452,,,,,
2,11,2023,121.9018,2000,16.4066,,,,,
3,11,2023,122.9365,2000,16.2686,,,,,
6,11,2023,123.9694,2000,16.133,,,,,
7,11,2023,123.9736,2000,16.1325,,,,,
8,11,2023,124.5354,2000,16.0597,,,,,
9,11,2023,124.3403,2000,16.0849,,,,,
10,11,2023,124.6314,2000,16.0473,,,,,
13,11,2023,125.7889,2000,15.8997,,,,,
15,11,2023,126.8642,2000,15.7649,,,,,
16,11,2023,127.1134,2000,15.734,,,,,
17,11,2023,127.5904,2000,15.6752,,,,,
20,11,2023,128.1785,2000,15.6032,,,,,
21,11,2023,128.3999,2000,15.5763,,,,,
22,11,2023,128.8279,2000,15.5246,,,,,
23,11,2023,128.8981,2000,15.5161,,,,,
24,11,2023,129.0956,2000,15.4924,,,,,
28,11,2023,129.3046,2000,15.4674,,,,,
29,11,2023,130.0317,2000,15.3809,,,,,
30,11,2023,131.1034,2000,15.2551,,,,,
1,12,2023,131.6131,2000,15.1961,,,,,
4,12,2023,133.3121,2000,15.0024,,,,,
5,12,2023,133.5381,2000,14.977,,,,,
6,12,2023,133.6698,2000,14.9622,,,,,
7,12,2023,133.7225,2000,14.9563,,,,,
8,12,2023,133.0588,2000,15.0309,,,,,
11,12,2023,134.3457,2000,14.887,,,,,
12,12,2023,133.9218,2000,14.9341,,,,,
13,12,2023,134.75,2000,14.8423,,,,,
14,12,2023,135.6741,2000,14.7412,,,,,
15,12,2023,136.2274,2000,14.6813,,,,,
18,12,2023,136.8879,2000,14.6105,,,,,
19,12,2023,136.9716,2000,14.6016,,,,,
20,12,2023,133.6018,2000,14.9699,,,,,
21,12,2023,135.5012,2000,14.76,,,,,
22,12,2023,136.5879,2000,14.6426,,,,,
26,12,2023,137.0521,2000,14.593,,,,,
27,12,2023,137.704,2000,14.5239,,,,,
28,12,2023,137.623,2000,14.5325,,,,,
29,12,2023,138.5047,2000,14.4399,,,,,
1,1,2024,139.1762,2000,14.3703,,,,,
2,1,2024,138.8607,2000,14.4029,,,,,
3,1,2024,138.8839,2000,14.4005,,,,,
4,1,2024,139.9626,2000,14.2895,,,,,
5,1,2024,140.4394,2000,14.241,,,,,
8,1,2024,139.326,2000,14.3548,,,,,
9,1,2024,139.6289,2000,14.3237,,,,,
10,1,2024,139.9727,2000,14.2885,,,,,
11,1,2024,140.7611,2000,14.2085,,,,,
12,1,2024,141.1337,2000,14.171,,,,,
15,1,2024,141.6797,2000,14.1163,,,,,
16,1,2024,140.9926,2000,14.1851,,,,,
17,1,2024,139.6838,2000,14.3181,,,,,
18,1,2024,139.4293,2000,14.3442,,,,,
19,1,2024,140.7669,2000,14.2079,,,,,
23,1,2024,137.8714,2000,14.5063,,,,,
24,1,2024,139.766,2000,14.3096,,,,,
25,1,2024,140.131,2000,14.2724,,,,,
29,1,2024,141.6705,2000,14.1173,,,,,
30,1,2024,141.4361,2000,14.1407,,,,,
31,1,2024,143.5166,2000,13.9357,,,,,
1,2,2024,143.1452,2000,13.9718,,,,,
2,2,2024,143.6546,2000,13.9223,,,,,
5,2,2024,143.3979,2000,13.9472,,,,,
6,2,2024,144.9022,2000,13.8024,,,,,
7,2,2024,145.0926,2000,13.7843,,,,,
8,2,2024,144.7137,2000,13.8204,,,,,
9,2,2024,143.361,2000,13.9508,,,,,
12,2,2024,140.0706,2000,14.2785,,,,,
13,2,2024,139.9215,2000,14.2937,,,,,
14,2,2024,140.8546,2000,14.199,,,,,
15,2,2024,141.9004,2000,14.0944,,,,,
16,2,2024,143.1126,2000,13.975,,,,,
19,2,2024,143.738,2000,13.9142,,,,,
20,2,2024,143.6065,2000,13.9269,,,,,
21,2,2024,142.6268,2000,14.0226,,,,,
22,2,2024,143.3511,2000,13.9518,,,,,
23,2,2024,144.3596,2000,13.8543,,,,,
26,2,2024,144.4498,2000,13.8456,,,,,
27,2,2024,144.0555,2000,13.8835,,,,,
28,2,2024,142.2488,2000,14.0599,,,,,
29,2,2024,142.5407,2000,14.0311,,,,,
1,3,2024,143.7888,2000,13.9093,,,,,
4,3,2024,144.225,2000,13.8672,,,,,
5,3,2024,143.4178,2000,13.9453,,,,,
6,3,2024,141.3847,2000,14.1458,,,,,
7,3,2024,142.3717,2000,14.0477,,,,,
11,3,2024,140.5597,2000,14.2288,,,,,
12,3,2024,138.5669,2000,14.4335,,,,,
13,3,2024,132.8328,2000,15.0565,,,,,
14,3,2024,135.7549,2000,14.7324,,,,,
15,3,2024,135.9442,2000,14.7119,,,,,
18,3,2024,136.15,2000,14.6897,,,,,
19,3,2024,135.1109,2000,14.8027,,,,,
20,3,2024,135.1435,2000,14.7991,,,,,
21,3,2024,137.7406,2000,14.52,,,,,
22,3,2024,139.211,2000,14.3667,,,,,
26,3,2024,139.5322,2000,14.3336,,,,,
27,3,2024,140.7914,2000,14.2054,,,,,
28,3,2024,141.2388,2000,14.1604,,,,,
31,3,2024,141.2247,2000,14.1618,,,,,
1,4,2024,144.2327,2000,13.8665,,,,,
2,4,2024,145.2666,2000,13.7678,,,,,
3,4,2024,146.16,2000,13.6836,,,,,
4,4,2024,146.6017,2000,13.6424,,,,,
5,4,2024,147.0745,2000,13.5986,,,,,
8,4,2024,147.414,2000,13.5672,,,,,
9,4,2024,147.0104,2000,13.6045,,,,,
